"技能id","技能名","技能定位","技能类型","图标编号","消耗1属性编号","消耗系数a1","消耗系数b1","显示消耗1","消耗2属性编号","消耗系数a2","消耗系数b2","显示消耗2","目标类型","战斗内外使用","魔法入口","技能剧情描述","技能描述","排序","技能描述1","技能描述2","技能描述3","技能描述4","技能描述5","技能描述6","技能描述7","技能升级描述","技能升级描述1","技能升级描述2","技能升级描述3","技能升级描述4","技能升级描述5","技能升级描述6","技能升级描述7","技能等级1","技能等级2","技能等级3","技能等级4","技能等级5","技能等级6","技能等级7"
"160000","虔诚信仰","虔诚信仰","牧师对神祇有着虔诚的信仰，这种信仰也使其获得了祝福","210","-1","0","0","无消耗","-1","0","0",,"1","1",,"牧师对神祇有着虔诚的信仰，这种信仰也使其获得了祝福","牧师基础技能","1","牧师基础技能","牧师基础技能","牧师基础技能","牧师基础技能","牧师基础技能","牧师基础技能","牧师基础技能","永久增加主角的生命","永久增加主角的生命","永久增加主角的生命","永久增加主角的生命","永久增加主角的生命","永久增加主角的生命","永久增加主角的生命","永久增加主角的生命","1","200","200","200","200","200","200"
"160001","神圣新星","神圣新星","聚集神圣能量并引爆，对周围多个敌方单位造成伤害","209","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"聚集神圣能量并引爆，对周围多个敌方单位造成伤害","法术随机攻击多个目标，对首要目标造成额外伤害","2","法术随机攻击多个目标，对首要目标造成额外伤害","法术随机攻击多个目标，对首要目标造成额外伤害","法术随机攻击多个目标，对首要目标造成额外伤害","法术随机攻击多个目标，对首要目标造成额外伤害","法术随机攻击多个目标，对首要目标造成额外伤害","法术随机攻击多个目标，对首要目标造成额外伤害","法术随机攻击多个目标，对首要目标造成额外伤害","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","1","200","200","200","200","200","200"
"160002","治疗祷言","治疗祷言","牧师虔诚的祈祷，使用神圣的力量治疗友军","208","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"4127","1",,"牧师虔诚的祈祷，使用神圣的力量治疗友军","回复多个目标生命。","3","回复多个目标生命。","回复多个目标生命。","回复多个目标生命。","回复多个目标生命。","回复多个目标生命。","回复多个目标生命。","回复多个目标生命。","增加生命回复效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标","增加生命回复效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标","增加生命回复效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标","增加生命回复效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标","增加生命回复效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标","增加生命回复效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标","增加生命回复效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标","增加生命回复效果，50级可作用4个目标，70级可作用5个目标，90级可作用6个目标","1","200","200","200","200","200","200"
"160003","复生","复生","牧师最为传奇的能力之一，将目标已逝去的生命力唤回，其威能足可起死回生","207","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"4126","1",,"牧师最为传奇的能力之一，将目标已逝去的生命力唤回，其威能足可起死回生","复活死亡目标，拥有不死亡魂状态的单位除外","4","复活死亡目标，拥有不死亡魂状态的单位除外","复活死亡目标，拥有不死亡魂状态的单位除外","复活死亡目标，拥有不死亡魂状态的单位除外","复活死亡目标，拥有不死亡魂状态的单位除外","复活死亡目标，拥有不死亡魂状态的单位除外","复活死亡目标，拥有不死亡魂状态的单位除外","复活死亡目标，拥有不死亡魂状态的单位除外","增加生命回复。永久增加主角的速度","增加生命回复。永久增加主角的速度","增加生命回复。永久增加主角的速度","增加生命回复。永久增加主角的速度","增加生命回复。永久增加主角的速度","增加生命回复。永久增加主角的速度","增加生命回复。永久增加主角的速度","增加生命回复。永久增加主角的速度","1","200","200","200","200","200","200"
"160004","心灵之火","心灵之火","牧师心中有着虔诚的信仰，这种信念是如此强烈，甚至化作类法术能力。","205","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"4127","1",,"牧师心中有着虔诚的信仰，这种信念是如此强烈，甚至化作类法术能力。","战斗中增加友方法术攻击和法术防御","5","战斗中增加友方法术攻击和法术防御","战斗中增加友方法术攻击和法术防御","战斗中增加友方法术攻击和法术防御","战斗中增加友方法术攻击和法术防御","战斗中增加友方法术攻击和法术防御","战斗中增加友方法术攻击和法术防御","战斗中增加友方法术攻击和法术防御","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标  60级可持续5回合，90级可持续6回合。永久增加主角的控制抗性","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标  60级可持续5回合，90级可持续6回合。永久增加主角的控制抗性","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标  60级可持续5回合，90级可持续6回合。永久增加主角的控制抗性","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标  60级可持续5回合，90级可持续6回合。永久增加主角的控制抗性","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标  60级可持续5回合，90级可持续6回合。永久增加主角的控制抗性","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标  60级可持续5回合，90级可持续6回合。永久增加主角的控制抗性","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标  60级可持续5回合，90级可持续6回合。永久增加主角的控制抗性","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标  60级可持续5回合，90级可持续6回合。永久增加主角的控制抗性","1","200","200","200","200","200","200"
"160005","神圣救赎","神圣救赎","以圣光之名救赎世间苦难。","312","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"4127","1",,"以圣光之名救赎世间苦难。","解除1至2个己方队友除控制状态外的的所有异常状态","6","解除1至2个己方队友除控制状态外的的所有异常状态","解除1至2个己方队友除控制状态外的的所有异常状态","解除1至2个己方队友除控制状态外的的所有异常状态","解除1至2个己方队友除控制状态外的的所有异常状态","解除1至2个己方队友除控制状态外的的所有异常状态","解除1至2个己方队友除控制状态外的的所有异常状态","解除1至2个己方队友除控制状态外的的所有异常状态","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","1","200","200","200","200","200","200"
"160006","纳鲁恩赐","纳鲁恩赐","先知维纶将纳鲁恩泽注入项链，使其附加法术攻击","204","-1","0.667","6","消耗：$parameter1$活力","-1","0","0",,"1","1",,"先知维纶将纳鲁恩泽注入项链，使其附加法术攻击","制造一张附魔卷轴，给项链增加法术攻击","7","制造一张附魔卷轴，给项链增加法术攻击","制造一张附魔卷轴，给项链增加法术攻击","制造一张附魔卷轴，给项链增加法术攻击","制造一张附魔卷轴，给项链增加法术攻击","制造一张附魔卷轴，给项链增加法术攻击","制造一张附魔卷轴，给项链增加法术攻击","制造一张附魔卷轴，给项链增加法术攻击","增加魔加术攻击的效果","增加魔加术攻击的效果","增加魔加术攻击的效果","增加魔加术攻击的效果","增加魔加术攻击的效果","增加魔加术攻击的效果","增加魔加术攻击的效果","增加魔加术攻击的效果","1","200","200","200","200","200","200"
"160007","天定之国","天定之国","牧师史诗技能，令神之意志降临凡世，将脚下的土地化为神国。“轻唤神名，我必允你为王！”","203","120","0","120","消耗：$parameter1$愤怒","-1","0","0",,"4127","1",,"牧师史诗技能，令神之意志降临凡世，将脚下的土地化为神国。“轻唤神名，我必允你为王！”","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的5%。使用后虚弱休息1回合，休息状态下双防降低。","8","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的5%。使用后虚弱休息1回合，休息状态下双防降低。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的15%。使用后虚弱休息1回合，休息状态下双防降低。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的25%。使用后虚弱休息1回合，休息状态下双防降低。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的35%。使用后虚弱休息1回合，休息状态下双防降低。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的35%。使用后虚弱休息1回合，休息状态下双防降低。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的35%。使用后虚弱休息1回合，休息状态下双防降低。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的35%。使用后虚弱休息1回合，休息状态下双防降低。","回复生命系数5%","回复生命系数15%","回复生命系数25%","回复生命系数35%","回复生命系数35%","回复生命系数35%","回复生命系数35%","回复生命系数35%","1","2","3","4","5","6","7"
"161000","先祖智慧","先祖智慧","萨满祭司一直担当精神领袖的职位，他们拥有强大的能力对付扰乱自然秩序的家伙","313","-1","0","0","无消耗","-1","0","0",,"1","1",,"萨满祭司一直担当精神领袖的职位，他们拥有强大的能力对付扰乱自然秩序的家伙","萨满基础技能","1","萨满基础技能","萨满基础技能","萨满基础技能","萨满基础技能","萨满基础技能","萨满基础技能","萨满基础技能","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","永久增加主角的法术攻击","1","200","200","200","200","200","200"
"161001","闪电链","闪电链","萨满祭司拥有和自然沟通的能力，可以召唤自然元素攻击敌人。","314","100","2.4","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"萨满祭司拥有和自然沟通的能力，可以召唤自然元素攻击敌人。","法术攻击多个目标，伤害逐个递增","2","法术攻击多个目标，伤害逐个递增","法术攻击多个目标，伤害逐个递增","法术攻击多个目标，伤害逐个递增","法术攻击多个目标，伤害逐个递增","法术攻击多个目标，伤害逐个递增","法术攻击多个目标，伤害逐个递增","法术攻击多个目标，伤害逐个递增","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，50级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","1","200","200","200","200","200","200"
"161002","治疗图腾","治疗图腾","萨满祭司拥有随时召唤图腾的能力以此来增强保护团队。","317","100","2.4","10","消耗：$parameter1$魔法","-1","0","0",,"8192","1",,"萨满祭司拥有随时召唤图腾的能力以此来增强保护团队。","召唤图腾，每回合给范围内队友回复生命，持续4回合","3","召唤图腾，每回合给范围内队友回复生命，持续4回合","召唤图腾，每回合给范围内队友回复生命，持续5回合","召唤图腾，每回合给范围内队友回复生命，持续5回合","召唤图腾，每回合给范围内队友回复生命，持续5回合","召唤图腾，每回合给范围内队友回复生命，持续5回合","召唤图腾，每回合给范围内队友回复生命，持续5回合","召唤图腾，每回合给范围内队友回复生命，持续5回合","增加使用效果，70级可持续5回合","增加使用效果，70级可持续5回合","增加使用效果","增加使用效果","增加使用效果","增加使用效果","增加使用效果","增加使用效果","1","70","200","200","200","200","200"
"161003","闪电箭","闪电箭","以电为箭，强力法术打击。","315","100","2.4","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"以电为箭，强力法术打击。","法术强力打击单个目标","4","法术强力打击单个目标","法术强力打击单个目标","法术强力打击单个目标","法术强力打击单个目标","法术强力打击单个目标","法术强力打击单个目标","法术强力打击单个目标","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","1","200","200","200","200","200","200"
"161004","先祖之魂","先祖之魂","用先祖的力量是亡者的灵魂返回躯体，让已死的目标复活。","318","100","2.4","10","消耗：$parameter1$魔法","-1","0","0",,"4127","1",,"用先祖的力量是亡者的灵魂返回躯体，让已死的目标复活。","复活死亡目标，拥有不死亡魂状态的单位除外","5","复活死亡目标，拥有不死亡魂状态的单位除外","复活死亡目标，拥有不死亡魂状态的单位除外","复活死亡目标，拥有不死亡魂状态的单位除外","复活死亡目标，拥有不死亡魂状态的单位除外","复活死亡目标，拥有不死亡魂状态的单位除外","复活死亡目标，拥有不死亡魂状态的单位除外","复活死亡目标，拥有不死亡魂状态的单位除外","增加生命回复，永久增加主角的控制抗性                                          ","增加生命回复，永久增加主角的控制抗性                                          ","增加生命回复，永久增加主角的控制抗性                                          ","增加生命回复，永久增加主角的控制抗性                                          ","增加生命回复，永久增加主角的控制抗性                                          ","增加生命回复，永久增加主角的控制抗性                                          ","增加生命回复，永久增加主角的控制抗性                                          ","增加生命回复，永久增加主角的控制抗性                                          ","1","200","200","200","200","200","200"
"161005","狂热图腾","狂热图腾","萨满祭司将神秘力量注入目标体内，短暂时间内增强战斗能力。","319","100","2.4","10","消耗：$parameter1$魔法","-1","0","0",,"8192","1",,"萨满祭司将神秘力量注入目标体内，短暂时间内增强战斗能力。","召唤图腾，给范围内队友增加物攻和速度，持续4回合","6","召唤图腾，给范围内队友增加物攻和速度，持续4回合","召唤图腾，给范围内队友增加物攻和速度，持续5回合","召唤图腾，给范围内队友增加物攻和速度，持续5回合","召唤图腾，给范围内队友增加物攻和速度，持续5回合","召唤图腾，给范围内队友增加物攻和速度，持续5回合","召唤图腾，给范围内队友增加物攻和速度，持续5回合","召唤图腾，给范围内队友增加物攻和速度，持续5回合","增加使用效果，70级可持续5回合。永久增加主角的法术防御","增加使用效果，70级可持续5回合。永久增加主角的法术防御","增加使用效果，永久增加主角的法术防御","增加使用效果，永久增加主角的法术防御","增加使用效果，永久增加主角的法术防御","增加使用效果，永久增加主角的法术防御","增加使用效果，永久增加主角的法术防御","增加使用效果，永久增加主角的法术防御","1","70","200","200","200","200","200"
"161006","元素之怒","元素之怒","萨满学习萨尔将自然元素的力量注入衣甲，使其附加控制命中和控制抗性","320","-1","0.667","6","消耗：$parameter1$活力","-1","0","0",,"1","1",,"萨满学习萨尔将自然元素的力量注入衣甲，使其附加控制命中和控制抗性","制造一张附魔卷轴，该卷轴可给衣甲增加控制命中和控制抗性","7","制造一张附魔卷轴，该卷轴可给衣甲增加控制命中和控制抗性","制造一张附魔卷轴，该卷轴可给衣甲增加控制命中和控制抗性","制造一张附魔卷轴，该卷轴可给衣甲增加控制命中和控制抗性","制造一张附魔卷轴，该卷轴可给衣甲增加控制命中和控制抗性","制造一张附魔卷轴，该卷轴可给衣甲增加控制命中和控制抗性","制造一张附魔卷轴，该卷轴可给衣甲增加控制命中和控制抗性","制造一张附魔卷轴，该卷轴可给衣甲增加控制命中和控制抗性","增加附魔附加控制命中和控制抗性的效果","增加附魔附加控制命中和控制抗性的效果","增加附魔附加控制命中和控制抗性的效果","增加附魔附加控制命中和控制抗性的效果","增加附魔附加控制命中和控制抗性的效果","增加附魔附加控制命中和控制抗性的效果","增加附魔附加控制命中和控制抗性的效果","增加附魔附加控制命中和控制抗性的效果","1","200","200","200","200","200","200"
"161007","风暴轰击","风暴轰击","萨满祭司史诗技能，召唤强大的自然力量，粉碎敌人的意志和身体。“嘘！静静的感受自然元素的轻歌”","321","120","0","120","消耗：$parameter1$愤怒","-1","0","0",,"480","1",,"萨满祭司史诗技能，召唤强大的自然力量，粉碎敌人的意志和身体。“嘘！静静的感受自然元素的轻歌”","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","8","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","最高为闪电箭伤害的150%","所有技能达到70级 最高为闪电箭伤害的160%","可打击三个目标 最高为闪电箭伤害的170%","最高为闪电箭伤害的180%","最高为闪电箭伤害的180%","最高为闪电箭伤害的180%","最高为闪电箭伤害的180%","最高为闪电箭伤害的180%","1","2","3","4","5","6","7"
"162000","盗贼尊严","盗贼尊严","盗亦有道！","322","-1","0","0","无消耗","-1","0","0",,"1","1",,"盗亦有道！","盗贼基础技能","1","盗贼基础技能","盗贼基础技能","盗贼基础技能","盗贼基础技能","盗贼基础技能","盗贼基础技能","盗贼基础技能","永久增加主角的物理攻击","永久增加主角的物理攻击","永久增加主角的物理攻击","永久增加主角的物理攻击","永久增加主角的物理攻击","永久增加主角的物理攻击","永久增加主角的物理攻击","永久增加主角的物理攻击","1","200","200","200","200","200","200"
"162001","淬毒刀扇","淬毒刀扇","盗贼虽然以稳准狠著称，但为了保证目标绝对被消灭，往往会让攻击没有死角。","323","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"盗贼虽然以稳准狠著称，但为了保证目标绝对被消灭，往往会让攻击没有死角。","物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点","2","物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点","物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点","物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点","物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点","物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点","物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点","物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点","增加使用时的伤害，40级可攻击3个目标","增加使用时的伤害，40级可攻击3个目标","增加使用时的伤害，70级可攻击4个目标","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","1","40","70","200","200","200","200"
"162002","穿刺影袭","穿刺影袭","当夜幕降临，整个世界都将成为盗贼的游乐场！","324","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"当夜幕降临，整个世界都将成为盗贼的游乐场！","物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点","3","物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点","物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点","物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点","物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点","物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点","物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点","物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","1","200","200","200","200","200","200"
"162003","剔骨","剔骨","外行人都说盗贼的手法过于残忍，但在战斗中盗贼很少有过失手。","325","100","0","0","无消耗","-1","0","0",,"480","1",,"外行人都说盗贼的手法过于残忍，但在战斗中盗贼很少有过失手。","物理攻击单个目标两次，消耗连击点追加等量连击次数，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","4","物理攻击单个目标两次，消耗连击点追加等量连击次数，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","物理攻击单个目标两次，消耗连击点追加等量连击次数，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","物理攻击单个目标两次，消耗连击点追加等量连击次数，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","物理攻击单个目标两次，消耗连击点追加等量连击次数，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","物理攻击单个目标两次，消耗连击点追加等量连击次数，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","物理攻击单个目标两次，消耗连击点追加等量连击次数，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","物理攻击单个目标两次，消耗连击点追加等量连击次数，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","增加使用时的伤害，永久增加主角的速度","1","200","200","200","200","200","200"
"162004","潜行","潜行","一个优秀的盗贼知道该在什么时候脱离缠斗，寻找新的刺杀机会。","326","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"1","1",,"一个优秀的盗贼知道该在什么时候脱离缠斗，寻找新的刺杀机会。","进入隐身状态，持续2至3回合，隐身状态下回合结束时一定几率增加一点连击点，隐身状态下只能使用物理普攻，使用技能取消隐身状态","5","进入隐身状态，持续2至3回合，隐身状态下回合结束时一定几率增加一点连击点，隐身状态下只能使用物理普攻，使用技能取消隐身状态","进入隐身状态，持续2至3回合，隐身状态下回合结束时一定几率增加一点连击点，隐身状态下只能使用物理普攻，使用技能取消隐身状态","进入隐身状态，持续2至3回合，隐身状态下回合结束时一定几率增加一点连击点，隐身状态下只能使用物理普攻，使用技能取消隐身状态","进入隐身状态，持续2至3回合，隐身状态下回合结束时一定几率增加一点连击点，隐身状态下只能使用物理普攻，使用技能取消隐身状态","进入隐身状态，持续2至3回合，隐身状态下回合结束时一定几率增加一点连击点，隐身状态下只能使用物理普攻，使用技能取消隐身状态","进入隐身状态，持续2至3回合，隐身状态下回合结束时一定几率增加一点连击点，隐身状态下只能使用物理普攻，使用技能取消隐身状态","进入隐身状态，持续2至3回合，隐身状态下回合结束时一定几率增加一点连击点，隐身状态下只能使用物理普攻，使用技能取消隐身状态","增加使用时的伤害，60级可隐身3至4回合。永久增加主角的控制抗性","增加使用时的伤害，60级可隐身3至4回合。永久增加主角的控制抗性","增加使用时的伤害，60级可隐身3至4回合。永久增加主角的控制抗性","增加使用时的伤害，60级可隐身3至4回合。永久增加主角的控制抗性","增加使用时的伤害，60级可隐身3至4回合。永久增加主角的控制抗性","增加使用时的伤害，60级可隐身3至4回合。永久增加主角的控制抗性","增加使用时的伤害，60级可隐身3至4回合。永久增加主角的控制抗性","增加使用时的伤害，60级可隐身3至4回合。永久增加主角的控制抗性","1","200","200","200","200","200","200"
"162005","闷棍","闷棍","盗贼往往为了达成目标不得不采用一些火中取栗的办法。","328","100","1.2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"盗贼往往为了达成目标不得不采用一些火中取栗的办法。","物理攻击敌方单体并附带眩晕状态，攻击后损失生命上限28%的生命值并虚弱休息1回合，虚弱休息状态下双防降低。消耗2点连击点免除全部负面效果，消耗1点连击点免除损血","6","物理攻击敌方单体并附带眩晕状态，攻击后损失生命上限28%的生命值并虚弱休息1回合，虚弱休息状态下双防降低。消耗2点连击点免除全部负面效果，消耗1点连击点免除损血","物理攻击敌方单体并附带眩晕状态，攻击后损失生命上限28%的生命值并虚弱休息1回合，虚弱休息状态下双防降低。消耗2点连击点免除全部负面效果，消耗1点连击点免除损血","物理攻击敌方单体并附带眩晕状态，攻击后损失生命上限28%的生命值并虚弱休息1回合，虚弱休息状态下双防降低。消耗2点连击点免除全部负面效果，消耗1点连击点免除损血","物理攻击敌方单体并附带眩晕状态，攻击后损失生命上限28%的生命值并虚弱休息1回合，虚弱休息状态下双防降低。消耗2点连击点免除全部负面效果，消耗1点连击点免除损血","物理攻击敌方单体并附带眩晕状态，攻击后损失生命上限28%的生命值并虚弱休息1回合，虚弱休息状态下双防降低。消耗2点连击点免除全部负面效果，消耗1点连击点免除损血","物理攻击敌方单体并附带眩晕状态，攻击后损失生命上限28%的生命值并虚弱休息1回合，虚弱休息状态下双防降低。消耗2点连击点免除全部负面效果，消耗1点连击点免除损血","物理攻击敌方单体并附带眩晕状态，攻击后损失生命上限28%的生命值并虚弱休息1回合，虚弱休息状态下双防降低。消耗2点连击点免除全部负面效果，消耗1点连击点免除损血","增加使用时的伤害。永久增加主角的物理防御","增加使用时的伤害。永久增加主角的物理防御","增加使用时的伤害。永久增加主角的物理防御","增加使用时的伤害。永久增加主角的物理防御","增加使用时的伤害。永久增加主角的物理防御","增加使用时的伤害。永久增加主角的物理防御","增加使用时的伤害。永久增加主角的物理防御","增加使用时的伤害。永久增加主角的物理防御","1","200","200","200","200","200","200"
"162006","鲜血饥渴","鲜血饥渴","瓦莉拉将恶魔力量注入武器，使其附加治疗强度","329","-1","0.667","6","消耗：$parameter1$活力","-1","0","0",,"1","1",,"瓦莉拉将恶魔力量注入武器，使其附加治疗强度","制造一张附魔卷轴，该卷轴可给武器增加治疗强度","7","制造一张附魔卷轴，该卷轴可给武器增加治疗强度","制造一张附魔卷轴，该卷轴可给武器增加治疗强度","制造一张附魔卷轴，该卷轴可给武器增加治疗强度","制造一张附魔卷轴，该卷轴可给武器增加治疗强度","制造一张附魔卷轴，该卷轴可给武器增加治疗强度","制造一张附魔卷轴，该卷轴可给武器增加治疗强度","制造一张附魔卷轴，该卷轴可给武器增加治疗强度","增加附魔附加治疗强度的效果","增加附魔附加治疗强度的效果","增加附魔附加治疗强度的效果","增加附魔附加治疗强度的效果","增加附魔附加治疗强度的效果","增加附魔附加治疗强度的效果","增加附魔附加治疗强度的效果","增加附魔附加治疗强度的效果","1","200","200","200","200","200","200"
